city_name,temperature_c,humidity_percent,wind_speed_mps,weather_main,weather_description,date_pkt,time_pkt
Karachi,31.45,69,5.7,Clouds,few clouds,2025-07-08,15:28:59
Multan,42.41,28,6.48,Clouds,broken clouds,2025-07-08,15:28:59
Rawalpindi,31.91,55,2.77,Clouds,overcast clouds,2025-07-08,15:28:59
Islamabad,31.95,55,2.9,Clouds,overcast clouds,2025-07-08,15:28:59
Sialkot,26.47,67,2.56,Clouds,overcast clouds,2025-07-08,15:28:59
Quetta,35.83,17,5.27,Clouds,few clouds,2025-07-08,15:29:00
Lahore,28.14,76,2.45,Clouds,overcast clouds,2025-07-08,15:29:00
Faisalabad,37.01,36,1.31,Clouds,overcast clouds,2025-07-08,15:29:00
Peshawar,36.05,47,2.25,Clouds,scattered clouds,2025-07-08,15:25:04
Hyderābād,39.16,36,5.07,Clouds,broken clouds,2025-07-08,15:29:00
Muzaffarabad,27.67,78,1.26,Clouds,overcast clouds,2025-07-08,15:29:01
Bannu,40.14,33,4.94,Clouds,few clouds,2025-07-08,15:29:01
Mingora,30.69,63,3.22,Clouds,broken clouds,2025-07-08,15:29:01
Gilgit,33.45,30,5.46,Clouds,broken clouds,2025-07-08,15:29:01
Gujranwala,28.36,65,4.83,Clouds,overcast clouds,2025-07-08,15:29:01
Sukkur,41.55,31,5.79,Clouds,few clouds,2025-07-08,15:29:01
Dera Ghazi Khan,40.3,34,6.3,Clouds,overcast clouds,2025-07-08,15:29:01
Shekhupura,30.0,61,1.08,Clouds,overcast clouds,2025-07-08,15:29:02
Sargodha,38.58,34,1.31,Clouds,broken clouds,2025-07-08,15:29:02
Sahiwal,39.69,31,4.24,Clouds,overcast clouds,2025-07-08,15:29:02
Mardan,34.32,47,5.0,Clouds,broken clouds,2025-07-08,15:29:04
Mirpur Khas,39.87,35,7.32,Clouds,scattered clouds,2025-07-08,15:29:04
Khuzdar,35.03,30,0.83,Clouds,overcast clouds,2025-07-08,15:24:07
